微博内容,统一后的评论,点赞数
“萝卜快跑”正常直行时被插队，直接起步，插队车被吓回方向亿点曝光计划超能新星汇 L骑车君的微博,"Ant_Coder ：这应该是有安全员在车上开的情况
Aradiali ：为啥敢在武汉搞这种测试
绕南墙 ：好！就得有人治治这些插队的！！萝卜做的好！！！
唸之风景 ：萝卜现在都会滴喇叭了，上次绿灯前面一个车没走萝卜滴滴，我以为有人开呢，车从我旁边过去才看到没人，萝卜也是长大了
那好吧不和你闹了 ：萝卜不好惹
君子怀谦 ：不愧是武汉萝卜
老同学王老湿 ：自动驾驶的算法终于提高了，这是进步
没学走路 ：恶人还得恶人磨
西明早挚Mattias ：只有当地才能培养出这么优良的品种",1
"6月9日，湖北武汉，萝卜快跑直行时避让转弯车辆，邻道小车躺枪 撞翻护栏翻滚一圈，""萝卜""全责 ""鱼头""司机受伤送医 萝卜快跑 热点现场 L出站上楼的微博","车厘子椰奶西米露 ：这反应和我一样，肯定是有人在里面开
羊咩咩eo ：萝卜快跑平时稳得很，肯定是人在开
麦田蓑笠翁：关注！萝卜快跑
老实养猪 ：真萝卜不会这样
数星星的小朋友来了 ：红车责任没跑，但这一看就是测试员在开车
歌单又循环到了枫 ：逼压低车主很可恶，大家发现了没有，我在鄂A
方之夫：程序违法了。//@M雪诺:让速不让道，傻萝卜
Wayne24774 ：旁边肇事的真萝卜倒是跑了
M雪诺 ：让速不让道，傻萝卜",1
"作为海南国资体系内重要的汽车运输服务上市企业，海汽集团在海南交通运营领域具备显著优势。公司拥有多元化客运业务板块，并持有网约车运营资质，是海南交通出行市场的核心参与者。

2025年4月15日，海汽集团迎来重要战略布局，与百度旗下的阿波罗智行、萝卜快跑达成深度合作，三方共同签署《自动驾驶","寒夜柠檬 ：
小卷mama918：",1
"今天头一次做自动驾驶，感觉棒棒的。

手机下单萝卜快跑，走到指定地点，输入手机后四位，自动开门，关上后车子就自动开起来了。里面一个人都没有，哈哈，车子自动开。感觉驾驶平稳，没有啥异常，老司机一样。

到达地点下车拜拜，看着它远去的身影，不由得发出感叹，科技改变生活呀。","思远-慕源-187：北京有了萝卜快跑了。
后浪S1：你好，很高兴为你服务，请系好安全带我们出发了
财满满溢：周二快乐，一起贴贴，好先进
财FR2318：没体验过，是不是自己一直盯着前方
魔法少女小糖：真科技改变生活
财米哥：有没有害怕的赶脚？
唱与你我：老友技术秀翻天，自动驾驶走起如神游！加油，老友！
健康常伴w财满亿足：挺特别的体验
财啊美：有点害怕不敢坐",1
如果加上AI摄像头识别不属于车上的物品也OK（但是萝卜上好像本来就有摄像头？@萝卜快跑自动驾驶 ）,,1
"把学生送走了，睡到自然醒，
然后去杨泗港大桥看雨，
接着体验一下萝卜快跑，
去拦江路吃了蟹神咩咩，
四块一个的袁糖酥饺真的巨巨好吃
钟小花大型真香现场
开心的一天！",,1
在武汉的最后一天，被的士司机拒绝送到车站门口，隔几条路强行下客，身份证落在车上又被敲诈一笔，你鄂司机从不让人失望希望下次回武汉的时候路上只有萝卜快跑,,1
现根本干不需要那么人，现在很多的小孩都不应该来到这个世界上，中美关系贸易战就是因为中国人太多那么多人上班生产那么多产品而且大多是出口所以美国才要和中国打贸易战.归根到底就是人太多了，而且现是自动化智能化时代很多事情都是不需要人做的，像前段时间百度搞的无人出租萝卜快跑.就被很多出租司,,1
萝卜快跑无人驾驶体验不错！ Lwykshp的微博,,1
难怪叫萝卜快跑呢，真是傻白甜,晓夕大海 ：但凡当时多走一步 我们都不用等这么久,1
活的萝卜快跑诶！,"Luky_Timer ：请叫它苕萝卜
月小水长 ：坪山貌似几年前就有了
CiaoinSummer ：我在深圳坪山天天看到",1
"第六代「蘿蔔快跑」自動駕駛的士即將引進香港🇭🇰

香港超话 萝卜快跑 2香港 L香港沉默之聲的微博",,1
顺便说下，萝卜快跑的定位太不准啦！！！,,1
萝卜快跑的作用就是 在加塞的时候知道它肯定会让我 它真好,红烧小香菜 ：我加塞你,1
"下雨天车站避雨的猫猫
喜欢上坐萝卜快跑啦～",,1
给人笑瘸了 萝卜快跑 不止车跑人也得跑萝卜快跑百亿流量扶持计划 L感性软妹子的微博,,1
"【6月21日，星期六，农历五月二十六】

1、发布涉“国补”不实信息，“新知百略”负责人被警方行政处罚；

2、破解液氦卡脖子难题，全球首台多体位无液氦磁共振国内上市；

3、1亿用户涌向美团闪购618，“大件”商品成交额增长200%；

4、饿了么前eo韩鎏涉嫌职务犯罪，已被警方传唤配合调查；

5、“","徐庶徐元直：早呀
津门李哥：早鸭",1
萝卜快跑 初体验💯,,1
我与汽车的日常超话 @萝卜快跑自动驾驶 你一个无人驾驶机器人，为什么要使用雨刮 L弯道尽头的微博,兴彣：有一部分传感摄像头在中后视镜后面吧～我记得现在MPV那种大玻璃车都不用对开雨刮就是因为对开的刮不到摄像头,1
今天一个人坐萝卜快跑 打开按摩听自己喜欢的歌 好惬意😌,"充足睡眠 ：还有按摩功能啦？？？
全体人类在天堂 ：比某些人类开的臭车吵车摇摇车好多了",1
"【AI赋能这个大赛期待值拉满，四川数字乡村创新“助力锦囊”来了】

当AI浪潮蔓延到农村，“乡村数智人”成为数字乡村建设的新风口，该领域创新发展会有什么新看点？

6月18日至19日，四川省2025年全国数字乡村创新大赛宣介会暨四川网信“数智领航”第五期数字乡村发展交流会在眉山市举行。实地调研点",昌平法師：@昌平法師: 乡亲们早上好！ 评论配图,1
"这一动向正值特斯拉即将推出 Cyberab 无人出租车网络之际，马斯克正把公司未来的增长寄托在自动驾驶技术上。与此同时，萝卜快跑、在美上市的小马智行和文远知行等中国企业，也纷纷将业务拓展至中东、欧洲和东南亚。
萝卜快跑的发展正在提速，目前全球部署的自动驾驶车辆已超过 1000 台，其中大部分位",,1
"突发新闻：
国外有些博主已经被邀请 Robotaxi的早期体验
不过虽然是无人驾驶，但副驾驶还是有安全员跟着
不就是美国版的「萝卜快跑」吗

6 月 22 号发布，估计会巨酷
无人驾驶特斯拉超话特斯拉","电动车公社哔哔机：我估计不会比萝卜好很多
灵草探：挺期待无人驾驶的呀，真的很好奇！
点点音乐美文m ：太惊喜了，令人期待
时光l2024 ：也会让大家都有很好的体验感
薛国城北徐公：利好
不想取名嘞 ：太期待了，坐等不见不散
不如叫猪古力 ：这感觉就是萝卜快跑了啊，哈哈
小狐狸花楹：无人驾驶这个安全不 很想知道 其实如果安全的话 可以推行",1
"有知情人士透露，百度萝卜快跑正瞄准新加坡和马来西亚！全球扩张脚步稳了～

萝卜快跑已全球部署千余辆自动驾驶车，订单破1100万次，顺利超越Waymo！国际化路线火力全开，还瞄准欧洲、土耳其和香港新测试区，稳扎稳打。
与此同时，特斯拉Cyberab也蓄势待发，自动驾驶出租车大战一触即发。
未来出行，","今日阳光灿烂好运连连：
Smile-粉：",1
"为什么萝卜快跑不能和Robotaxi比？
萝卜快跑 2成都·成都高新特斯拉中心 L天府四街马斯克的微博",,1
"刚才看了@傲敦的小作文 采访小马智行楼天成的，在腾讯新闻的泰坦栏目。突然意识到很大的反差，就是主机厂和L4的科技公司，哪怕同样都在做智能驾驶相关的话题，因为角度、利益、方向的不同，关于未来的叙事依然前差万别，甚至对于消费者需要什么，都各有解释。

譬如，楼天成关于未来有好几个关键判","傲敦的小作文：犀利
拆那奥拓：差太多了，天差地别。题都不是一个题。L2/3和L4完全是两个产品，互相之间技术上有联系，但定义上完全没必要合到一起，各走各路挺好的。微博正文
ArthurShen_Origin：站在L4供应商的角度，他们只能这么说。但是现实是，整个道路环境是大家共享的，他们想要的L4成为普遍应用的世界还很遥远。
电动星球蟹老板：👉有道理//@拆那奥拓:差太多了，天差地别。题都不是一个题。L2/3和L4完全是两个产品，互相之间技术上有联系，但定义上完全没必要合到一起，各走各路挺好的。微博正文",1
"彭博社报道，百度计划最早于今年在新加坡和马来西亚上线萝卜快跑无人驾驶出租车服务。速度真快。

42how新能源汽车百度 42mark","王永利 ：我觉得马来西亚难度比较大，车多、速度快、弯道急，对自动驾驶是灾难。
自在的C ：国内做不下去了赶紧布局海外是吧
42号车库：点击链接 O网页链接 扫码「小米、问界、蔚来、理想、极氪...」加入兴趣群",1
特斯拉超话特斯拉无人出租车特斯拉roboxtaxi炒股超话上证指数[超话] 特斯拉无人出租车来了，你看好嘛？？？百度萝卜快跑,,1
【强烈建议取消“萝卜快跑”试运营资质】三公里多路程，绕行10倍距离，减免后收费仍超一倍多，还耽误乘客时间和后续事务。运营中违章乱停，堵路时有发生。以互联网产品迭代升级来野蛮生长，给试运营区域市民生活带来的不便和利益受损，盲视忽略，予以沉没。,,1
【百度萝卜快跑香港测试区扩大 从机场周边驶入东涌核心区】百度旗下的Robotaxi（自动驾驶出行服务）品牌萝卜快跑在香港的自动驾驶测试进一步升级。6月18日，香港运输署公布，萝卜快跑在香港北大屿山进行自动驾驶车辆测试的路段再扩大，从最初的机场周边逐步扩大至东涌城市生活圈。O百度萝卜快跑香港测试区扩大 从机场周边驶入东涌核心区,Charles_Kuang ：s啦d9,1
消息称百度自动驾驶出租车萝卜快跑年内落地东南亚市场 O消息称百度自动驾驶出租车萝卜快跑年内落地东南亚市场,,1
萝卜快跑你再慢点来接我,用户97082970 ：太多车挨他了,1
【萝卜快跑或于今年底进军东南亚市场】消息人士称，百度自动驾驶出租车子公司萝卜快跑计划最快于2025年底进军东南亚市场。萝卜快跑将主要关注东南亚地区的新加坡和马来西亚市场。（新浪财经）,,1
"百度萝卜快跑最早于2025年底进军东南亚

一位知情人士表示，百度旗下自动驾驶出租车部门萝卜快跑计划最早于今年年底将业务拓展至东南亚市场，目前正值自动驾驶出租车公司纷纷加紧拓展海外市场之际。

该知情人士称，萝卜快跑在东南亚的主要焦点将是新加坡和马来西亚。在中国自动驾驶出租车公司中，百度",,1
"一个关于特斯拉无人驾驶出租车Robotaxi的事情。

去年特斯拉宣布Robotaxi即将进入市场的时候，几乎全网为之疯狂，当然如果这件事情做成了确实厉害，但饭总得一口一口吃，至少现在还没有拿出来颠覆性表现。

此前特斯拉的承诺是将会在6月22日起，在美国奥斯汀正式启动Robotaxi，但根据金融时报”报道，",,1
"汽车早餐 | 江铃福特否认并入长安福特；丰田汽车董事长年薪1340万美元；沃尔沃中国法定代表人变更

国内新闻

商务部：将依法依规加快对稀土出口许可申请进行审查

6月19日，在商务部举行的例行发布会上，新闻发言人何亚东谈到稀土相关出口问题时表示，将依法依规不断加快对稀土相关出口许可",,1
"爱知君读财经早报:

1 分红险不能再“任性分”：红利高低与投资收益、风险评级挂钩
2 5月锂电出口量价双增 消费品出口不景气。5月，家电出口3.9亿台，同比下滑5.9%
3 三部门召开加强新能源汽车安全管理工作会
4 11项具体举措推动北京游戏电竞产业高质量发展
5 滴灌投资申请香港上市 仅供专业投资者",,1
转，18日两市成交1.22万亿，近三个交易日成交量没有太大变化，缩量也只是小幅。从以往经验来看，这种贴着均线震荡的行情，大概率持续到交割日之后。从盘面看，医药和消费继续调整，主要是之前漂移进去的钱在回归自己所属的板块。新能源回归的钱在强化固态设备，电子昨天也因为分层推出而部分回归了低位,,1
"每日科技要闻速递（6 月 20 日）
1. 苹果拟用生成式 AI 加速定制芯片设计流程。
2. SpaeX 星舰 36 号火箭静态点火测试突发爆炸。
3. 宇树科技已经完成了始于去年底 C 轮融资的交割。
4. xAI 被指每月亏损 10 亿美元，马斯克称彭博社 “胡说八道”。
5. 德州仪器计划在美国投资超过 600 亿美元建设半导",卧龙新时代 ：,1
"每日科技要闻速递（6月20日）
1. 苹果拟用生成式AI加速定制芯片设计流程。
2. SpaeX星舰36号火箭静态点火测试突发爆炸。
3. 宇树科技已经完成了始于去年底C轮融资的交割。
4. xAI被指每月亏损10亿美元，马斯克称彭博社“胡说八道”。
5. 德州仪器计划在美国投资超过600亿美元建设半导体工厂。
6. 计划",,1
"花海：保卫萝卜！萝卜快跑

家耶好可爱哈哈哈哈

wb对战ksg2025kpl夏季赛 L白开水宇宙的微博",,1
听到一个宜昌人说自己在武汉开车的耻辱经历：竟然被萝卜快跑加塞了🌚🌚🌚,,1
萝卜快跑体验了,哼布拉斯基 ：咋样啊,1
在北京乘坐无人驾驶是什么体验拉加德在北京体验无人驾驶 欧洲央行行长拉加德近日访华，在北京体验了萝卜快跑无人驾驶汽车。她盛赞其安全平稳，还畅想车内可变美容院，这体验太新奇！,,1
《萝卜快跑在香港又有新突破 助力香港全面打造科创之城》6月18日，香港特别行政区运输署发布消息称，萝卜快跑已获批在香港东涌的指定路段和时段开展测试，进一步丰富自动驾驶应用场景。O网页链接,,1
其实萝卜快跑是另一种ktv,,1
【百度萝卜快跑香港第三次扩区，获批在东涌指定路段和时段开展测试】据百度 Apollo 智能驾驶官方消息，6 月 18 日，香港特别行政区运输署宣布萝卜快跑已获批在香港东涌的指定路段和时段开展测试。这是继 4 月底，香港运输署更新自动驾驶车辆试行牌照并扩大萝卜快跑自动驾驶车辆在香港的测试区域后，,,1
"萝卜快跑在香港第三次扩区，获批在东涌指定路段和时段开展测试。

萝卜快跑 308_IO 新能源汽车",,1
蘿蔔快跑宣布其自動駕駛測試區擴展至香港東涌，這是自2024年12月進入香港後的再次擴區，目前安全行駛里程已超1.5萬公里，成功申請10輛自動車在指定路段進行測試。運輸署更新了自動駕駛車輛牌照，以支持測試範圍的擴大，並將持續推進市場應用和技術創新。,,1
"谷歌的Waymo，无人出租车AV，
势如破竹，运营不到2年，抢下20%打车市场份额，超越了成立13年的Lyft。

网约车鼻祖Uber，从巅峰70%份额，下降到60%，忙不迭跟文远合作在中东落地具身智能移动载具服务。

上述市场重构，还是在近4成的老美不相信自动驾驶出租车的情况下，悄然发生。

被AI打得晕头转向的",,1
"6.19每日早报

稳定币：美股稳定币Cirle大涨34%再创新高，创上市以来最大单日涨幅，股价逼近200美元，消息上美参议院通过稳定币法案

时代出版 华峰超纤（蚂蚁系已经涨了一波可以关注高切低的京东系）

中东冲突：伊以均称周四晚上有重大行动，美称通过对伊行动决议但尚未执行

石化：准油股",,1
【电报解读】国内外巨头纷纷加码无人出租车业务，报告称2030年中国Robotaxi全球市场份额占比近6成，这家公司产品批量供货萝卜快跑无人出租车 O网页链接,,1
萝卜快跑是不是有病啊能来来不能来滚,emo且fw博主 ：没坐过，你坐过吗，开车稳吗,1
半夜乘坐在无人驾驶的车上…体验了把萝卜快跑～ Lyls_syl的微博,,1
人生新体验-萝卜快跑 2东莞 L飞奔的蜗牛噶的微博,,1
这个我这IP真有 朴质询你过来我请你坐萝卜快跑,,1
"2025-06-18

本来没事变成忙碌？的一天
Xrh说这个小猫很像我，她太爱我了还是
Fh 送了一大箱子荔枝（今年荔枝好像便宜又很好吃，太甜了呜呜
最后一个吃饭的人可以拥有全部的饭
就是说永远喝不到凑凑的珍珠（握紧拳头👊）
和师妹一起下班吃饭像放学一样快乐
小布小布小布布
Zjjyj 好久没用了，","西天取经路上的西红柿牛腩汤 ：跑进休息室疯狂寻找杏冰美式，找了一圈发现自己没主动上车椰椰也挺好喝的
西天取经路上的西红柿牛腩汤 ：我要恢复自己的语言能力，做一些康复训练
夏日兔兔冻 ：自恋自恋",1
"打萝卜快跑定位定在东门小电车在北门
验证了一点
从东门步行到北门需要三十分钟",咦哟西-小冉子 ：太有意思了,1
给人笑瘸了 萝卜快跑 不止车跑人也得跑萝卜快跑 L感性软妹子的微博,,1
【萝卜快跑香港测试再扩大区域】6月18日，香港特别行政区运输署发布消息称，萝卜快跑已获批在香港东涌的指定路段和时段开展测试。这是萝卜快跑自2024年12月落地香港后的第三次扩区。半年时间内，其测试范围从最初的机场周边逐步延伸至北大屿山核心区域，现在深入东涌城市生活圈，将测试范围延伸至交,"叶子圆圆的哦 ：希望百度能够坚持下去，国内无人驾驶的希望了
逛街爱好者8 ：看好国产无人驾驶的发展，土萝卜继续冲刺
K灬哥 ：在武汉这个东西烦得不行，尤其上下班高峰期？",1
来武汉坐萝卜快跑吧让我用用你们的新人优惠,,1
用 Claude Desktop 写代码 be like：萝卜快跑征战秋名山最速传说,"张氏硕鼠 ：跟得上我直升机鸽子的斯必德吗
panzArmor ：TNT跑得动吗",1
我早期读一本关于5G的书时，对自动驾驶的边缘计算技术产生过一个有趣的问题：他们的计算单位部署在哪里？藏在道路边上不怕被偷走吗？后来的事情发展给了我一个答案：电车的智驾方案，部署在车里。萝卜快跑的计算单元，是在同一城市远程控制的真人。这一有趣的问题终于得到了解决。,,1
武汉也有无人驾驶萝卜快跑 bsh可以来玩,,1
生活手记萝卜快跑，超适合i人的出行方式，接驾也挺快的,,1
分享 L科技说说_刘勇的微博,,1
发布了头条文章：《萝卜快跑香港测试拓展至东涌，财政司副司长亲自体验》 O萝卜快跑香港测试拓展至东涌，财政司副司长亲自体验,,1
"2025“投资成都”全球招商大会于今日（6月18日）式开幕，会期3天。吉利控股集团董事长李书福、科大讯飞董事长刘庆峰出席2025“投资成都”全球招商大会，并作主旨发言。本届大会以“合作·创新·未来”为主题，而汽车产业的升级更是亮点频现。
1、百度阿波罗签约落地成都，将建设智能网联汽车产业中心，",,1
百度阿波罗智能网联汽车产业中心项目将积极抢滩智能网联汽车新蓝海，拟在蓉建设“一总部、三中心、一联盟”，落地萝卜快跑业务，并加速推动成都智能网联汽车的产业布局,"Xqtxlife ：全是些骗子公司
TsuiBigPeng ：龙泉？
槟榔乔治 ：搞这些还不如花大力气搞点有实力的车企",1
"ID. Buzz AD。

9 个激光雷达，13个常规摄像头，5毫米波雷达。

这个硬件可以说是天花板了，百度的萝卜快跑新款也只4个激光雷达。

MOIA将推出首款量产版全自动驾驶IDBuzzAD",乌拉那拉氏不出废后：本宫甚喜科技之妙，自动驾驶乃未来之势，ID Buzz AD确是翘楚，创新无止境，期待更多惊喜～,1
"L2和L4的技术头部今年卷什么？全球化。

其中一个共同点是，右舵市场。

今年以来，不管是主机厂，还是供应商，或者Robotaxi玩家，都在加速部署或上车右舵车型，包括国内小鹏和萝卜快跑，以及大洋彼岸的Waymo和特斯拉。

近期最引发热议的玩家，是即将正式落地Robotaxi的特斯拉，这意味着其今后也将在L",,1
@萝卜快跑自动驾驶 慢得令人崩溃 3公里等20分钟 不如叫🐌慢跑,,1
【趋势调察】欧洲央行行长拉加德访华期间，体验了百度的萝卜快跑无人驾驶汽车，并提出无人驾驶车辆可以改造成美发沙龙、美甲店等移动服务空间，这一观点引发了对无人驾驶更广阔应用场景的思考，传统的第三空间，如星巴克、咖啡馆等，曾是人们社交、放松的重要场所，但随着社会节奏加快，这些固定场所的,,1
萝卜快跑无人驾驶的算法有问题啊，这么简单的路况都处理不了？ 来自网络,"育同学_学历教育勇哥 ：事发地不是湖北武汉
边角逛逛Bug里：这胖头鱼太惨了
爽朗的快乐远航 ：比亚迪拐弯负主要责任
ou风车 ：好一个GTA截停…
财武汉装修队长：拉及公司的东西，谁买谁当小白鼠。软件出bug太正常了，车企承担责任之前，我是不敢用智驾了
浓缩白咖啡 ：迪要负主责
将-族 ：匆忙推出这种资本游戏，必然，一地鸡毛！",1
你们不觉得热拉和萝卜快跑的app长得很像吗 每次打车都会点错,"日光履迹：我求你了日光律己真的要开始了
顾澌渊：真的吗，我还没打过萝卜",1
"萝卜快跑，方便又快捷!
萝卜快跑萝卜快跑解锁出行新方式",,1
无人驾驶简直就是为我们这种i人量身打造的，我以后要一直打萝卜快跑了,,1
"《民用无人驾驶概念股深度剖析：从整车制造到技术赋能》

整车制造及相关企业

北汽蓝谷：发布“达尔文系统”，可实现ADAS智能辅助驾驶、L3级自动驾驶等功能，在自动驾驶技术方面有一定的技术积累和市场影响力。

赛力斯：具备L2+自动驾驶技术的系统集成和整车测试验证能力，在智能驾驶领域不断发展，",,1
"【院士领衔，矿山“开挂”！康巴什探索智慧交通新样本】

康巴什区以需求驱动、平台支撑、场景赋能、商业闭环为核心，加速构建智能网联产业生态圈，通过“人才－项目－科创”三链融合，打造高质量发展新引擎和智能交通新高地。在人才引擎方面，康巴什区建立“院士领衔+高端引进+本土培育”机制，集聚6",,1
萝卜快跑打卡打卡,,1
打到萝卜快跑新车型啦，自动门，座椅按摩，后备箱，比之前宽敞很多啦 L燕子欧尼Ashlyn的微博,,1
可是我们光谷这边，萝卜快跑越来越多了呀//@鄭君才:萝卜快跑突然没新闻了,,1
"Labubu 审美 当AI巨头遭遇“盲盒经济学”

某度员工在茶水间刷手机时，突然瞳孔地震：“咱公司市值竟然只有泡泡玛特一半？这合理吗？我们可是搞无人驾驶、大模型的啊！他们卖的不就是塑料小人吗？”

同事A淡定喝咖啡：“兄弟，你还没明白吗？现在资本市场流行的是‘情绪价值’，不是‘技术价值’。",,1
